364,CHILLICOTHE HIGH SCHOOL CHILLICOTHE,"421 YOCTANGEE PARKWAY    CHILLICOTHE, OH 45601"
366,CHIPPEWA HIGH SCHOOL DOYLESTOWN,"100 VALLEY VIEW RD    DOYLESTOWN, OH 44230-1621"
367,CHRISTIAN ACADEMY SIDNEY,
667,CINCINNATI CHRISTIAN HIGH SCHO HAMILTON,"7474 MORRIS ROAD    FAIRFIELD, OH 45011"
368,CINCINNATI COUNTRY DAY HIGH SC CINCINNATI,"6905 GIVEN ROAD    CINCINNATI, OH 45243-2839"
369,CINCINNATI HILLS CHRISTIAN ACA CINCINNATI,"11525 SNIDER RD    CINCINNATI, OH 45249-2222"
370,CIRCLEVILLE HIGH SCHOOL CIRCLEVILLE,"380 CLARK DR    CIRCLEVILLE, OH 43113-1517"
1956,CLARK MONTESSORI HIGH SCHOOL CINCINNATI,"3030 ERIE AVE    CINCINNATI, OH 45208"
372,CLAY HIGH SCHOOL OREGON,"5665 SEAMAN RD    OREGON, OH 43616-2613"
374,CLAY HIGH SCHOOL PORTSMOUTH,"44 CLAY HIGH STREET    PORTSMOUTH, OH 45662-9805"
376,CLAYMONT HIGH SCHOOL UHRICHSVILLE,"4205 INDIAN HILL RD    UHRICHSVILLE, OH 44683-1305"
378,CLEAR FORK HIGH SCHOOL BELLVILLE,"987 STATE ROUTE 97 E    BELLVILLE, OH 44813-9803"
380,CLEARVIEW HIGH SCHOOL LORAIN,"4700 BROADWAY    LORAIN, OH 44052-5542"
382,CLERMONT NORTHEASTERN HIGH SCH BATAVIA,"5327 HUTCHINSON RD    BATAVIA, OH 45103-9511"
384,CLEVELAND CENTRAL CATHOLIC HIG CLEVELAND,"6550 BAXTER AVE    CLEVELAND, OH 44105-1255"
385,CLEVELAND HEIGHTS HIGH SCHOOL CLEVELAND HGTS.,"13263 CEDAR ROAD    CLEVELAND HEIGHTS, OH 44118-2926"
386,CLEVELAND SCHOOL OF THE ARTS H CLEVELAND,
388,CLINTON-MASSIE HIGH SCHOOL CLARKSVILLE,"2556 LEBANON RD    CLARKSVILLE, OH 45113-9712"
390,CLOVERLEAF HIGH SCHOOL LODI,"8525 FRIENDSVILLE ROAD    LODI, OH 44254-9706"
392,CLYDE HIGH SCHOOL CLYDE,"1015 RACE ST    CLYDE, OH 43410-1832"
394,COLDWATER HIGH SCHOOL COLDWATER,"310 N SECOND ST    COLDWATER, OH 45828"
396,COLERAIN HIGH SCHOOL CINCINNATI,"8801 CHEVIOT RD    CINCINNATI, OH 45251-5907"
398,COLLINWOOD HIGH SCHOOL CLEVELAND,"15210 ST CLAIR AVE    CLEVELAND, OH 44110-3012"
400,COLONEL CRAWFORD HIGH SCHOOL NORTH ROBINSON,"2303 STATE ROUTE 602    NORTH ROBINSON, OH 44856"
402,COLONEL WHITE HIGH SCHOOL DAYTON,"4447 HOOVER AVE    DAYTON, OH 45417"
404,COLUMBIA HIGH SCHOOL COLUMBIA STA,"14168 W RIVER RD    COLUMBIA STATION, OH 44028-9430"
406,COLUMBIAN HIGH SCHOOL TIFFIN,"300 S MONROE ST    TIFFIN, OH 44883-2906"
408,COLUMBIANA HIGH SCHOOL COLUMBIANA,"700 COLUMBIANA WATERFORD    COLUMBIANA, OH 44408-1310"
410,COLUMBUS ACADEMY HIGH SCHOOL GAHANNA,"4300 CHERRY BOTTOM RD    GAHANNA, OH 43230-1724"
412,COLUMBUS GROVE HIGH SCHOOL COLUMBUS GROVE,"201 W CROSS ST    COLUMBUS GROVE, OH 45830-1237"
9360,COLUMBUS INTERNATIONAL COLUMBUS,"100 EAST ARCADIA AVENUE    COLUMBUS, OH 43202"
414,COLUMBUS SCHOOL FOR GIRLS HIGH COLUMBUS,"56 S. COLUMBIA AVENUE    COLUMBUS, OH 43209-1620"
415,COMPASS EDUCATION CENTER HIGH YOUNGSTOWN,
416,CONNEAUT HIGH SCHOOL CONNEAUT,"381 MILL ST    CONNEAUT, OH 44030-2439"
418,CONOTTON VALLEY HIGH SCHOOL BOWERSTON,"7205 CUMBERLAND RD SW    BOWERSTON, OH 44695-9632"
420,CONTINENTAL HIGH SCHOOL CONTINENTAL,"5211 ST RT 634    CONTINENTAL, OH 45831-9401"
422,COPLEY HIGH SCHOOL COPLEY,"3807 RIDGEWOOD RD    COPLEY, OH 44321-1630"
423,CORNERSTONE CHRISTIAN HIGH SCH WILLOUGHBY,"2846 SOM CENTER RD    WILLOUGHBY, OH 44094-9106"
424,CORY-RAWSON HIGH SCHOOL RAWSON,"3930 COUNTY ROAD 26    RAWSON, OH 45881-9676"
426,COSHOCTON HIGH SCHOOL COSHOCTON,"1205 CAMBRIDGE ROAD    COSHOCTON, OH 43812-2742"
428,COVENTRY HIGH SCHOOL AKRON,"3089 MANCHESTER ROAD    AKRON, OH 44319-1425"
430,COVINGTON HIGH SCHOOL COVINGTON,"807 CHESTNUT ST    COVINGTON, OH 45318-1760"
432,CRESTLINE HIGH SCHOOL CRESTLINE,"435 OLDFIELD RD    CRESTLINE, OH 44827-9782"
434,CRESTVIEW HIGH SCHOOL ASHLAND,"1575 STATE ROUTE 96    ASHLAND, OH 44805"
436,CRESTVIEW HIGH SCHOOL COLUMBIANA,"44100 CRESTVIEW RD, STE B    COLUMBIANA, OH 44408-9554"
438,CRESTVIEW HIGH SCHOOL CONVOY,"531 E TULLY STREET    CONVOY, OH 45832"
440,CRESTWOOD HIGH SCHOOL MANTUA,"10919 N MAIN ST    MANTUA, OH 44255-9624"
442,CROOKSVILLE HIGH SCHOOL CROOKSVILLE,"4075 CERAMIC WAY    CROOKSVILLE, OH 43731-1015"
444,CUYAHOGA FALLS HIGH SCHOOL CUYAHOGA FALLS,"2300 4TH ST    CUYAHOGA FALLS, OH 44221-2520"
446,CUYAHOGA HEIGHTS HIGH SCHOOL CLEVELAND,"4820 E 71ST STREET    CUYAHOGA HEIGHTS, OH 44125-1043"
448,CUYAHOGA VALLEY CHRISTIAN ACAD CUYAHOGA FALLS,"4687 WYOGA LAKE RD    CUYAHOGA FALLS, OH 44224-1011"
450,DALTON HIGH SCHOOL DALTON,"177 N. MILL ST N    DALTON, OH 44618"
452,DANBURY HIGH SCHOOL LAKESIDE,"9451 E HARBOR RD    LAKESIDE, OH 43440-1310"
454,DANVILLE HIGH SCHOOL DANVILLE,"10 RAMBO STREET    DANVILLE, OH 43014-0030"
456,DAVID ANDERSON HIGH SCHOOL LISBON,"260 W PINE ST    LISBON, OH 44432-1104"
458,DAWSON-BRYANT HIGH SCHOOL COAL GROVE,"1 HORNET LANE    COAL GROVE, OH 45638"
